id,output,gt,text
82,null,null,"""Sample 2000 training sample - Puma sweaters and pants"""
83,null,null,"""Sample 2000 training sample - Bata football and sweaters"""
84,null,null,"""Sample 2100 training sample - Nike tshirts and football"""
85,null,null,"""Sample 2100 training sample - Adidas sweaters and football"""
86,null,null,"""Sample 2100 training sample - Puma socks and sweaters"""
87,null,null,"""Sample 2100 training sample - Bata jeans and jeans"""
88,null,null,"""Sample 2200 training sample - Nike socks and hoodies"""
89,null,null,"""Sample 2200 training sample - Adidas socks and socks"""
90,null,null,"""Sample 2200 training sample - Puma football and shoes"""
91,null,null,"""Sample 2200 training sample - Bata jeans and shoes"""
92,null,null,"""Sample 2300 training sample - Nike socks and hoodies"""
93,null,null,"""Sample 2300 training sample - Adidas jeans and sweaters"""
94,null,null,"""Sample 2300 training sample - Puma sweaters and sweaters"""
95,null,null,"""Sample 2300 training sample - Bata football and tshirts"""
96,null,null,"""Sample 2400 training sample - Nike socks and tshirts"""
97,null,null,"""Sample 2400 training sample - Adidas pants and football"""
98,null,null,"""Sample 2400 training sample - Puma sweaters and jeans"""
99,null,null,"""Sample 2400 training sample - Bata football and jeans"""
100,null,null,"""Sample 2500 training sample - Nike shoes and shoes"""
101,null,null,"""Sample 2500 training sample - Adidas jeans and sweaters"""
102,null,null,"""Sample 2500 training sample - Puma tshirts and socks"""
103,null,null,"""Sample 2500 training sample - Bata football and football"""
104,null,null,"""Sample 2600 training sample - Nike sweaters and socks"""
105,null,null,"""Sample 2600 training sample - Adidas shoes and tshirts"""
106,null,null,"""Sample 2600 training sample - Puma socks and shoes"""
107,null,null,"""Sample 2600 training sample - Bata socks and pants"""
108,null,null,"""Sample 2700 training sample - Nike football and pants"""
109,null,null,"""Sample 2700 training sample - Adidas socks and football"""
110,null,null,"""Sample 2700 training sample - Puma tshirts and sweaters"""
111,null,null,"""Sample 2700 training sample - Bata pants and sweaters"""
112,null,null,"""Sample 2800 training sample - Nike shoes and shoes"""
113,null,null,"""Sample 2800 training sample - Adidas hoodies and shoes"""
114,null,null,"""Sample 2800 training sample - Puma shoes and football"""
115,null,null,"""Sample 2800 training sample - Bata tshirts and shoes"""
116,null,null,"""Sample 2900 training sample - Nike jeans and tshirts"""
117,null,null,"""Sample 2900 training sample - Adidas jeans and jeans"""
118,null,null,"""Sample 2900 training sample - Puma sweaters and socks"""
119,null,null,"""Sample 2900 training sample - Bata jeans and sweaters"""
120,null,null,"""Sample 3000 training sample - Nike shoes and jeans"""
121,null,null,"""Sample 3000 training sample - Adidas socks and hoodies"""
122,null,null,"""Sample 3000 training sample - Puma pants and sweaters"""
123,null,null,"""Sample 3000 training sample - Bata hoodies and sweaters"""
124,null,null,"""Sample 3100 training sample - Nike pants and socks"""
125,null,null,"""Sample 3100 training sample - Adidas tshirts and pants"""
126,null,null,"""Sample 3100 training sample - Puma football and hoodies"""
127,null,null,"""Sample 3100 training sample - Bata jeans and shoes"""
128,null,null,"""Sample 3200 training sample - Nike football and jeans"""
129,null,null,"""Sample 3200 training sample - Adidas jeans and sweaters"""
130,null,null,"""Sample 3200 training sample - Puma pants and tshirts"""
131,null,null,"""Sample 3200 training sample - Bata hoodies and jeans"""
132,null,null,"""Sample 3300 training sample - Nike sweaters and hoodies"""
133,null,null,"""Sample 3300 training sample - Adidas pants and tshirts"""
134,null,null,"""Sample 3300 training sample - Puma football and pants"""
135,null,null,"""Sample 3300 training sample - Bata shoes and pants"""
136,null,null,"""Sample 3400 training sample - Nike jeans and tshirts"""
137,null,null,"""Sample 3400 training sample - Adidas pants and jeans"""
138,null,null,"""Sample 3400 training sample - Puma jeans and tshirts"""
139,null,null,"""Sample 3400 training sample - Bata pants and pants"""
140,null,null,"""Sample 3500 training sample - Nike sweaters and hoodies"""
141,null,null,"""Sample 3500 training sample - Adidas sweaters and pants"""
142,null,null,"""Sample 3500 training sample - Puma football and pants"""
143,null,null,"""Sample 3500 training sample - Bata shoes and jeans"""
144,null,null,"""Sample 3600 training sample - Nike socks and pants"""
145,null,null,"""Sample 3600 training sample - Adidas shoes and shoes"""
146,null,null,"""Sample 3600 training sample - Puma hoodies and tshirts"""
147,null,null,"""Sample 3600 training sample - Bata pants and tshirts"""
148,null,null,"""Sample 3700 training sample - Nike football and socks"""
149,null,null,"""Sample 3700 training sample - Adidas shoes and jeans"""
150,null,null,"""Sample 3700 training sample - Puma jeans and tshirts"""
151,null,null,"""Sample 3700 training sample - Bata shoes and hoodies"""
152,null,null,"""Sample 3800 training sample - Nike tshirts and socks"""
153,null,null,"""Sample 3800 training sample - Adidas tshirts and shoes"""
154,null,null,"""Sample 3800 training sample - Puma pants and hoodies"""
155,null,null,"""Sample 3800 training sample - Bata shoes and hoodies"""
156,null,null,"""Sample 3900 training sample - Nike sweaters and sweaters"""
157,null,null,"""Sample 3900 training sample - Adidas jeans and hoodies"""
158,null,null,"""Sample 3900 training sample - Puma socks and tshirts"""
159,null,null,"""Sample 3900 training sample - Bata sweaters and tshirts"""
160,null,null,"""Sample 4000 training sample - Nike tshirts and socks"""
161,null,null,"""Sample 4000 training sample - Adidas shoes and tshirts"""
162,null,null,"""Sample 4000 training sample - Puma hoodies and socks"""
163,null,null,"""Sample 4000 training sample - Bata sweaters and pants"""
164,null,null,"""Sample 4100 training sample - Nike tshirts and jeans"""
165,null,null,"""Sample 4100 training sample - Adidas socks and shoes"""
166,null,null,"""Sample 4100 training sample - Puma football and sweaters"""
167,null,null,"""Sample 4100 training sample - Bata sweaters and football"""
168,null,null,"""Sample 4200 training sample - Nike hoodies and pants"""
169,null,null,"""Sample 4200 training sample - Adidas sweaters and sweaters"""
170,null,null,"""Sample 4200 training sample - Puma shoes and sweaters"""
171,null,null,"""Sample 4200 training sample - Bata socks and hoodies"""
172,null,null,"""Sample 4300 training sample - Nike pants and jeans"""
173,null,null,"""Sample 4300 training sample - Adidas pants and hoodies"""
174,null,null,"""Sample 4300 training sample - Puma socks and hoodies"""
175,null,null,"""Sample 4300 training sample - Bata shoes and jeans"""
176,null,null,"""Sample 4400 training sample - Nike pants and tshirts"""
177,null,null,"""Sample 4400 training sample - Adidas pants and shoes"""
178,null,null,"""Sample 4400 training sample - Puma jeans and socks"""
179,null,null,"""Sample 4400 training sample - Bata hoodies and hoodies"""
180,null,null,"""Sample 4500 training sample - Nike socks and jeans"""
181,null,null,"""Sample 4500 training sample - Adidas socks and sweaters"""
182,null,null,"""Sample 4500 training sample - Puma pants and shoes"""
183,null,null,"""Sample 4500 training sample - Bata socks and shoes"""
184,null,null,"""Sample 4600 training sample - Nike sweaters and hoodies"""
185,null,null,"""Sample 4600 training sample - Adidas socks and jeans"""
186,null,null,"""Sample 4600 training sample - Puma hoodies and hoodies"""
187,null,null,"""Sample 4600 training sample - Bata jeans and pants"""
188,null,null,"""Sample 4700 training sample - Nike pants and socks"""
189,null,null,"""Sample 4700 training sample - Adidas hoodies and socks"""
190,null,null,"""Sample 4700 training sample - Puma pants and tshirts"""
191,null,null,"""Sample 4700 training sample - Bata sweaters and socks"""
192,null,null,"""Sample 4800 training sample - Nike socks and tshirts"""
193,null,null,"""Sample 4800 training sample - Adidas pants and socks"""
194,null,null,"""Sample 4800 training sample - Puma shoes and pants"""
195,null,null,"""Sample 4800 training sample - Bata pants and sweaters"""
196,null,null,"""Sample 4900 training sample - Nike socks and hoodies"""
197,null,null,"""Sample 4900 training sample - Adidas football and football"""
198,null,null,"""Sample 4900 training sample - Puma football and sweaters"""
199,null,null,"""Sample 4900 training sample - Bata football and tshirts"""
200,null,null,"""Sample 5000 training sample - Nike jeans and pants"""
201,null,null,"""Sample 5000 training sample - Adidas hoodies and jeans"""
202,null,null,"""Sample 5000 training sample - Puma sweaters and pants"""
203,null,null,"""Sample 5000 training sample - Bata sweaters and sweaters"""
204,null,null,"""Sample 5100 training sample - Nike tshirts and shoes"""
205,null,null,"""Sample 5100 training sample - Adidas shoes and sweaters"""
206,null,null,"""Sample 5100 training sample - Puma football and jeans"""
207,null,null,"""Sample 5100 training sample - Bata football and socks"""
208,null,null,"""Sample 5200 training sample - Nike sweaters and socks"""
209,null,null,"""Sample 5200 training sample - Adidas football and socks"""
210,null,null,"""Sample 5200 training sample - Puma sweaters and tshirts"""
211,null,null,"""Sample 5200 training sample - Bata shoes and jeans"""
212,null,null,"""Sample 5300 training sample - Nike socks and sweaters"""
213,null,null,"""Sample 5300 training sample - Adidas tshirts and football"""
214,null,null,"""Sample 5300 training sample - Puma shoes and sweaters"""
215,null,null,"""Sample 5300 training sample - Bata jeans and football"""
216,null,null,"""Sample 5400 training sample - Nike tshirts and football"""
217,null,null,"""Sample 5400 training sample - Adidas hoodies and football"""
218,null,null,"""Sample 5400 training sample - Puma socks and football"""
219,null,null,"""Sample 5400 training sample - Bata tshirts and football"""
220,null,null,"""Sample 5500 training sample - Nike football and pants"""
221,null,null,"""Sample 5500 training sample - Adidas sweaters and pants"""
222,null,null,"""Sample 5500 training sample - Puma football and sweaters"""
223,null,null,"""Sample 5500 training sample - Bata pants and football"""
224,null,null,"""Sample 5600 training sample - Nike jeans and pants"""
225,null,null,"""Sample 5600 training sample - Adidas sweaters and pants"""
226,null,null,"""Sample 5600 training sample - Puma hoodies and hoodies"""
227,null,null,"""Sample 5600 training sample - Bata jeans and tshirts"""
228,null,null,"""Sample 5700 training sample - Nike tshirts and sweaters"""
229,null,null,"""Sample 5700 training sample - Adidas socks and tshirts"""
230,null,null,"""Sample 5700 training sample - Puma sweaters and jeans"""
231,null,null,"""Sample 5700 training sample - Bata socks and socks"""
232,null,null,"""Sample 5800 training sample - Nike hoodies and football"""
233,null,null,"""Sample 5800 training sample - Adidas socks and shoes"""
234,null,null,"""Sample 5800 training sample - Puma sweaters and socks"""
235,null,null,"""Sample 5800 training sample - Bata socks and shoes"""
236,null,null,"""Sample 5900 training sample - Nike socks and football"""
237,null,null,"""Sample 5900 training sample - Adidas shoes and hoodies"""
238,null,null,"""Sample 5900 training sample - Puma pants and socks"""
239,null,null,"""Sample 5900 training sample - Bata socks and sweaters"""
240,null,null,"""Sample 6000 training sample - Nike football and sweaters"""
241,null,null,"""Sample 6000 training sample - Adidas pants and socks"""
242,null,null,"""Sample 6000 training sample - Puma football and shoes"""
243,null,null,"""Sample 6000 training sample - Bata socks and hoodies"""
244,null,null,"""Sample 6100 training sample - Nike socks and tshirts"""
245,null,null,"""Sample 6100 training sample - Adidas football and tshirts"""
246,null,null,"""Sample 6100 training sample - Puma shoes and socks"""
247,null,null,"""Sample 6100 training sample - Bata shoes and jeans"""
248,null,null,"""Sample 6200 training sample - Nike socks and tshirts"""
249,null,null,"""Sample 6200 training sample - Adidas football and tshirts"""
250,null,null,"""Sample 6200 training sample - Puma shoes and pants"""
251,null,null,"""Sample 6200 training sample - Bata socks and hoodies"""
252,null,null,"""Sample 6300 training sample - Nike sweaters and football"""
253,null,null,"""Sample 6300 training sample - Adidas hoodies and hoodies"""
254,null,null,"""Sample 6300 training sample - Puma socks and pants"""
255,null,null,"""Sample 6300 training sample - Bata socks and pants"""
256,null,null,"""Sample 6400 training sample - Nike jeans and football"""
257,null,null,"""Sample 6400 training sample - Adidas shoes and shoes"""
258,null,null,"""Sample 6400 training sample - Puma hoodies and sweaters"""
259,null,null,"""Sample 6400 training sample - Bata jeans and shoes"""
260,null,null,"""Sample 6500 training sample - Nike shoes and sweaters"""
261,null,null,"""Sample 6500 training sample - Adidas sweaters and shoes"""
262,null,null,"""Sample 6500 training sample - Puma tshirts and sweaters"""
263,null,null,"""Sample 6500 training sample - Bata tshirts and football"""
264,null,null,"""Sample 6600 training sample - Nike jeans and sweaters"""
265,null,null,"""Sample 6600 training sample - Adidas football and pants"""
266,null,null,"""Sample 6600 training sample - Puma hoodies and tshirts"""
267,null,null,"""Sample 6600 training sample - Bata jeans and tshirts"""
268,null,null,"""Sample 6700 training sample - Nike pants and jeans"""
269,null,null,"""Sample 6700 training sample - Adidas shoes and pants"""
270,null,null,"""Sample 6700 training sample - Puma socks and socks"""
271,null,null,"""Sample 6700 training sample - Bata sweaters and jeans"""
272,null,null,"""Sample 6800 training sample - Nike sweaters and jeans"""
273,null,null,"""Sample 6800 training sample - Adidas pants and jeans"""
274,null,null,"""Sample 6800 training sample - Puma shoes and hoodies"""
275,null,null,"""Sample 6800 training sample - Bata socks and hoodies"""
276,null,null,"""Sample 6900 training sample - Nike jeans and hoodies"""
277,null,null,"""Sample 6900 training sample - Adidas shoes and socks"""
278,null,null,"""Sample 6900 training sample - Puma football and jeans"""
279,null,null,"""Sample 6900 training sample - Bata socks and hoodies"""
280,null,null,"""Sample 7000 training sample - Nike football and tshirts"""
281,null,null,"""Sample 7000 training sample - Adidas socks and tshirts"""
282,null,null,"""Sample 7000 training sample - Puma pants and football"""
283,null,null,"""Sample 7000 training sample - Bata football and socks"""
284,null,null,"""Sample 7100 training sample - Nike pants and hoodies"""
285,null,null,"""Sample 7100 training sample - Adidas sweaters and jeans"""
286,null,null,"""Sample 7100 training sample - Puma pants and football"""
287,null,null,"""Sample 7100 training sample - Bata sweaters and football"""
288,null,null,"""Sample 7200 training sample - Nike socks and hoodies"""
289,null,null,"""Sample 7200 training sample - Adidas shoes and football"""
290,null,null,"""Sample 7200 training sample - Puma hoodies and tshirts"""
291,null,null,"""Sample 7200 training sample - Bata football and sweaters"""
292,null,null,"""Sample 7300 training sample - Nike hoodies and pants"""
293,null,null,"""Sample 7300 training sample - Adidas hoodies and pants"""
294,null,null,"""Sample 7300 training sample - Puma pants and shoes"""
295,null,null,"""Sample 7300 training sample - Bata sweaters and jeans"""
296,null,null,"""Sample 7400 training sample - Nike sweaters and socks"""
297,null,null,"""Sample 7400 training sample - Adidas football and sweaters"""
298,null,null,"""Sample 7400 training sample - Puma football and football"""
299,null,null,"""Sample 7400 training sample - Bata football and shoes"""
300,null,null,"""Sample 7500 training sample - Nike jeans and pants"""
301,null,null,"""Sample 7500 training sample - Adidas sweaters and socks"""
302,null,null,"""Sample 7500 training sample - Puma sweaters and pants"""
303,null,null,"""Sample 7500 training sample - Bata hoodies and football"""
304,null,null,"""Sample 7600 training sample - Nike hoodies and socks"""
305,null,null,"""Sample 7600 training sample - Adidas hoodies and hoodies"""
306,null,null,"""Sample 7600 training sample - Puma football and pants"""
307,null,null,"""Sample 7600 training sample - Bata pants and pants"""
308,null,null,"""Sample 7700 training sample - Nike sweaters and jeans"""
309,null,null,"""Sample 7700 training sample - Adidas sweaters and hoodies"""
310,null,null,"""Sample 7700 training sample - Puma jeans and tshirts"""
311,null,null,"""Sample 7700 training sample - Bata sweaters and sweaters"""
312,null,null,"""Sample 7800 training sample - Nike football and pants"""
313,null,null,"""Sample 7800 training sample - Adidas pants and jeans"""
314,null,null,"""Sample 7800 training sample - Puma sweaters and pants"""
315,null,null,"""Sample 7800 training sample - Bata sweaters and hoodies"""
316,null,null,"""Sample 7900 training sample - Nike tshirts and pants"""
317,null,null,"""Sample 7900 training sample - Adidas shoes and tshirts"""
318,null,null,"""Sample 7900 training sample - Puma pants and shoes"""
319,null,null,"""Sample 7900 training sample - Bata shoes and pants"""
320,null,null,"""Sample 8000 training sample - Nike tshirts and football"""
321,null,null,"""Sample 8000 training sample - Adidas jeans and shoes"""
322,null,null,"""Sample 8000 training sample - Puma pants and football"""
323,null,null,"""Sample 8000 training sample - Bata football and football"""
324,null,null,"""Sample 8100 training sample - Nike hoodies and tshirts"""
325,null,null,"""Sample 8100 training sample - Adidas shoes and pants"""
326,null,null,"""Sample 8100 training sample - Puma football and jeans"""
327,null,null,"""Sample 8100 training sample - Bata jeans and socks"""
328,null,null,"""Sample 8200 training sample - Nike football and jeans"""
329,null,null,"""Sample 8200 training sample - Adidas shoes and tshirts"""
330,null,null,"""Sample 8200 training sample - Puma tshirts and pants"""
331,null,null,"""Sample 8200 training sample - Bata jeans and sweaters"""
332,null,null,"""Sample 8300 training sample - Nike jeans and socks"""
333,null,null,"""Sample 8300 training sample - Adidas sweaters and socks"""
334,null,null,"""Sample 8300 training sample - Puma football and football"""
335,null,null,"""Sample 8300 training sample - Bata pants and socks"""
336,null,null,"""Sample 8400 training sample - Nike pants and shoes"""
337,null,null,"""Sample 8400 training sample - Adidas jeans and sweaters"""
338,null,null,"""Sample 8400 training sample - Puma sweaters and pants"""
339,null,null,"""Sample 8400 training sample - Bata jeans and tshirts"""
340,null,null,"""Sample 8500 training sample - Nike sweaters and tshirts"""
341,null,null,"""Sample 8500 training sample - Adidas jeans and tshirts"""
342,null,null,"""Sample 8500 training sample - Puma shoes and socks"""
343,null,null,"""Sample 8500 training sample - Bata football and football"""
344,null,null,"""Sample 8600 training sample - Nike pants and shoes"""
345,null,null,"""Sample 8600 training sample - Adidas sweaters and pants"""
346,null,null,"""Sample 8600 training sample - Puma pants and football"""
347,null,null,"""Sample 8600 training sample - Bata jeans and sweaters"""
348,null,null,"""Sample 8700 training sample - Nike pants and sweaters"""
349,null,null,"""Sample 8700 training sample - Adidas socks and jeans"""
350,null,null,"""Sample 8700 training sample - Puma sweaters and tshirts"""
351,null,null,"""Sample 8700 training sample - Bata pants and tshirts"""
352,null,null,"""Sample 8800 training sample - Nike jeans and shoes"""
353,null,null,"""Sample 8800 training sample - Adidas tshirts and pants"""
354,null,null,"""Sample 8800 training sample - Puma pants and football"""
355,null,null,"""Sample 8800 training sample - Bata jeans and football"""
356,null,null,"""Sample 8900 training sample - Nike pants and socks"""
357,null,null,"""Sample 8900 training sample - Adidas pants and football"""
358,null,null,"""Sample 8900 training sample - Puma football and jeans"""
359,null,null,"""Sample 8900 training sample - Bata shoes and socks"""
360,null,null,"""Sample 9000 training sample - Nike hoodies and pants"""
361,null,null,"""Sample 9000 training sample - Adidas shoes and jeans"""
362,null,null,"""Sample 9000 training sample - Puma sweaters and shoes"""
363,null,null,"""Sample 9000 training sample - Bata pants and shoes"""
364,null,null,"""Sample 9100 training sample - Nike tshirts and football"""
365,null,null,"""Sample 9100 training sample - Adidas football and pants"""
366,null,null,"""Sample 9100 training sample - Puma tshirts and socks"""
367,null,null,"""Sample 9100 training sample - Bata football and jeans"""
368,null,null,"""Sample 9200 training sample - Nike football and hoodies"""
369,null,null,"""Sample 9200 training sample - Adidas socks and hoodies"""
370,null,null,"""Sample 9200 training sample - Puma hoodies and jeans"""
371,null,null,"""Sample 9200 training sample - Bata tshirts and hoodies"""
372,null,null,"""Sample 9300 training sample - Nike socks and football"""
373,null,null,"""Sample 9300 training sample - Adidas pants and socks"""
374,null,null,"""Sample 9300 training sample - Puma shoes and football"""
375,null,null,"""Sample 9300 training sample - Bata jeans and hoodies"""
376,null,null,"""Sample 9400 training sample - Nike pants and hoodies"""
377,null,null,"""Sample 9400 training sample - Adidas jeans and socks"""
378,null,null,"""Sample 9400 training sample - Puma shoes and football"""
379,null,null,"""Sample 9400 training sample - Bata socks and shoes"""
380,null,null,"""Sample 9500 training sample - Nike sweaters and hoodies"""
381,null,null,"""Sample 9500 training sample - Adidas football and football"""
382,null,null,"""Sample 9500 training sample - Puma shoes and sweaters"""
383,null,null,"""Sample 9500 training sample - Bata pants and tshirts"""
384,null,null,"""Sample 9600 training sample - Nike pants and football"""
385,null,null,"""Sample 9600 training sample - Adidas football and jeans"""
386,null,null,"""Sample 9600 training sample - Puma shoes and sweaters"""
387,null,null,"""Sample 9600 training sample - Bata tshirts and pants"""
388,null,null,"""Sample 9700 training sample - Nike shoes and socks"""
389,null,null,"""Sample 9700 training sample - Adidas jeans and sweaters"""
390,null,null,"""Sample 9700 training sample - Puma jeans and football"""
391,null,null,"""Sample 9700 training sample - Bata jeans and tshirts"""
392,null,null,"""Sample 9800 training sample - Nike football and pants"""
393,null,null,"""Sample 9800 training sample - Adidas pants and socks"""
394,null,null,"""Sample 9800 training sample - Puma football and football"""
395,null,null,"""Sample 9800 training sample - Bata sweaters and football"""
396,null,null,"""Sample 9900 training sample - Nike tshirts and socks"""
397,null,null,"""Sample 9900 training sample - Adidas sweaters and tshirts"""
398,null,null,"""Sample 9900 training sample - Puma jeans and pants"""
399,null,null,"""Sample 9900 training sample - Bata socks and hoodies"""
400,null,null,"""Sample 10000 training sample - Nike pants and shoes"""
401,null,null,"""Sample 10000 training sample - Adidas pants and pants"""
402,null,null,"""Sample 10000 training sample - Puma football and tshirts"""
403,null,null,"""Sample 10000 training sample - Bata football and football"""
404,null,null,"""Sample 10100 training sample - Nike hoodies and hoodies"""
405,null,null,"""Sample 10100 training sample - Adidas socks and football"""
406,null,null,"""Sample 10100 training sample - Puma hoodies and sweaters"""
407,null,null,"""Sample 10100 training sample - Bata sweaters and socks"""
408,null,null,"""Sample 10200 training sample - Nike sweaters and socks"""
409,null,null,"""Sample 10200 training sample - Adidas shoes and hoodies"""
410,null,null,"""Sample 10200 training sample - Puma football and socks"""
411,null,null,"""Sample 10200 training sample - Bata socks and tshirts"""
412,null,null,"""Sample 10300 training sample - Nike football and shoes"""
413,null,null,"""Sample 10300 training sample - Adidas tshirts and hoodies"""
414,null,null,"""Sample 10300 training sample - Puma jeans and football"""
415,null,null,"""Sample 10300 training sample - Bata jeans and football"""
416,null,null,"""Sample 10400 training sample - Nike shoes and tshirts"""
417,null,null,"""Sample 10400 training sample - Adidas socks and tshirts"""
418,null,null,"""Sample 10400 training sample - Puma jeans and football"""
419,null,null,"""Sample 10400 training sample - Bata pants and hoodies"""
420,null,null,"""Sample 10500 training sample - Nike socks and jeans"""
421,null,null,"""Sample 10500 training sample - Adidas hoodies and socks"""
422,null,null,"""Sample 10500 training sample - Puma hoodies and football"""
423,null,null,"""Sample 10500 training sample - Bata shoes and jeans"""
424,null,null,"""Sample 10600 training sample - Nike sweaters and pants"""
425,null,null,"""Sample 10600 training sample - Adidas sweaters and jeans"""
426,null,null,"""Sample 10600 training sample - Puma socks and jeans"""
427,null,null,"""Sample 10600 training sample - Bata jeans and football"""
428,null,null,"""Sample 10700 training sample - Nike tshirts and pants"""
429,null,null,"""Sample 10700 training sample - Adidas shoes and shoes"""
430,null,null,"""Sample 10700 training sample - Puma hoodies and shoes"""
431,null,null,"""Sample 10700 training sample - Bata pants and hoodies"""
432,null,null,"""Sample 10800 training sample - Nike hoodies and socks"""
433,null,null,"""Sample 10800 training sample - Adidas tshirts and sweaters"""
434,null,null,"""Sample 10800 training sample - Puma socks and tshirts"""
435,null,null,"""Sample 10800 training sample - Bata tshirts and tshirts"""
436,null,null,"""Sample 10900 training sample - Nike jeans and socks"""
437,null,null,"""Sample 10900 training sample - Adidas sweaters and football"""
438,null,null,"""Sample 10900 training sample - Puma tshirts and sweaters"""
